pitch,interval,label,rolling_avg_pitch,rolling_std_pitch,rolling_avg_interval,rolling_std_interval
53,-1,1,60.4,10.310189135025597,-1.0,14.916433890176297
51,-2,1,59.4,11.058933040759396,-1.0,14.916433890176297
77,26,1,62.6,13.64917579929279,3.2,19.331321734428816
54,-23,1,57.8,10.80277742064511,-4.8,20.43771024356691
75,21,1,62.0,12.845232578665128,4.2,19.766132651583614
54,-21,1,62.2,12.676750372236567,0.2,22.862633269157776
75,21,1,67.0,11.895377253370324,4.8,24.560130292814
74,-1,1,66.4,11.326958991715298,-0.6,21.512786895239767
78,4,1,71.2,9.731392500562299,4.8,17.498571370257626
59,-19,1,68.0,10.74709263010234,-3.2,17.38390059796707
68,9,1,70.8,7.52994023880669,2.8,14.669696656713793
78,10,1,71.4,8.049844718999255,0.6,11.802542099056451
49,-29,1,66.4,12.541929676090513,-5.0,17.84656829757474
77,28,1,66.2,12.316655390161726,-0.2,23.27444951013879
75,-2,1,69.4,12.054044964243333,3.2,20.969024774652727
53,-22,1,66.4,14.170391667134677,-3.0,23.28089345364563
73,20,1,65.4,13.296616110875721,-1.0,25.039968051097826
53,-20,1,66.2,12.132600710482475,0.8,22.74203157151972
73,20,1,65.4,11.349008767288877,-0.8,20.52315765178448
72,-1,1,64.8,10.77961038256948,-0.6,20.51341024793293
76,4,1,69.4,9.289779329994872,4.6,16.66733332000053
58,-18,1,66.4,10.21273714534942,-3.0,16.552945357246845
66,8,1,69.0,7.141428428542847,2.6,13.885243966167822
76,10,1,69.6,7.668115805072324,0.6,11.216059914247957
47,-29,1,64.6,12.401612798341985,-5.0,17.46424919657298
75,28,1,64.4,12.177848742696705,-0.2,22.982602115513377
73,-2,1,67.4,12.054044964243325,3.0,20.90454496036687
51,-22,1,64.4,14.17039166713467,-3.0,23.28089345364563
71,20,1,63.4,13.296616110875716,-1.0,25.039968051097826
70,-1,1,68.0,9.695359714832653,4.6,19.79393846610623
51,-19,1,63.2,11.189280584559475,-4.8,16.843396332094066
56,5,1,59.8,9.984988733093264,-3.4,17.41551032843999
